Query_Index,Execution_Time_CRAWD,CRAWD,Triple_Count
query_545,7.671,37280216,2
query_255,7.617,36389140,2
query_520,11.83,34688438,2
query_633,11.65,31942158,2
query_256,9.465,29953551,3
query_352,3.264,14153306,2
query_349,5.145,13216703,2
query_547,11.257,9725485,2
query_548,10.092,9704800,2
query_629,4.781,9181487,2
query_351,6.916,8371089,2
query_632,5.064,8218128,2
query_469,4.494,7305401,2
query_150,4.788,6463586,2
query_147,5.718,6462452,2
query_151,5.893,6433388,3
query_595,6.198,5107753,2
query_145,5.586,4963823,3
query_466,7.004,4021341,3
query_513,5.012,3786365,2
query_512,4.508,3785608,4
query_391,4.465,3644416,2
query_146,4.368,3281762,2
query_599,5.26,3207922,2
query_299,5.595,3083784,2
query_439,4.657,2759599,2
query_435,5.093,2759425,3
query_14,6.168,2524827,2
query_144,4.529,2522820,3
query_597,5.373,2514016,2
query_667,4.285,2481049,2
query_601,4.91,2477698,3
query_600,5.38,2474054,5
query_468,4.783,2346878,4
query_662,4.555,2342429,2
query_596,5.475,2338932,3
query_631,5.33,2204034,2
query_143,5.126,2097931,5
query_148,5.157,2071614,4
query_613,5.574,1924240,2
query_455,6.251,1717034,2
query_395,4.219,1616040,2
query_514,4.988,1608299,4
query_598,5.693,1380563,2
query_447,5.258,1281671,2
query_434,5.321,1237141,4
query_456,5.545,1074965,2
query_424,4.794,991473,5
query_396,6.616,954923,4
query_385,4.829,945489,2
query_394,4.249,910566,2
query_386,5.557,908479,3
query_425,5.228,874925,6
query_494,5.791,604083,2
query_355,4.018,544085,3
query_289,4.923,507500,2
query_288,4.565,506682,4
query_505,5.443,448672,2
query_168,3.466,415831,4
query_122,4.784,394531,3
query_593,5.201,380686,2
query_464,5.382,352024,2
query_465,5.655,349479,3
query_379,5.56,337160,2
query_126,5.006,326317,3
query_135,5.777,320716,2
query_136,5.487,301441,3
query_138,3.467,294930,4
query_76,5.383,283991,2
query_140,5.118,275527,3
query_499,5.633,270213,2
query_501,5.875,256341,2
query_431,5.188,244904,4
query_603,5.008,242763,2
query_528,5.03,241936,2
query_137,4.311,237828,4
query_527,5.018,237767,2
query_533,4.262,219130,3
query_530,4.873,203626,2
query_525,5.14,184705,2
query_283,4.805,150749,2
query_77,6.319,146685,4
query_343,4.377,146261,3
query_15,4.755,133622,3
query_504,6.13,128780,2
query_423,4.586,116501,3
query_20,4.873,110672,3
query_531,4.839,99984,2
query_451,7.325,86044,5
query_74,4.941,63129,3
query_282,5.311,59015,4
query_156,4.646,53440,3
query_339,4.424,51407,2
query_238,5.141,48086,2
query_13,5.672,46861,3
query_212,4.225,44817,4
query_579,5.052,35082,2
query_568,4.176,23552,2
query_502,5.495,21641,2
query_407,3.792,17494,2
query_29,5.142,17248,3
query_450,5.076,15821,3
query_12,5.424,15100,2
query_253,4.021,13411,3
query_344,4.745,13151,2
query_326,4.916,12165,2
query_560,4.22,10023,2
query_102,4.565,9818,4
query_630,4.31,8935,2
query_345,4.667,8622,2
query_10,5.143,8076,2
query_356,3.392,7793,3
query_354,3.482,7435,3
query_476,4.532,7210,2
query_186,4.875,7148,3
query_164,5.019,6963,3
query_353,1.832,6382,3
query_626,4.702,5914,2
query_336,5.83,5599,2
query_210,7.909,5312,5
query_130,4.521,5223,3
query_348,3.871,4711,2
query_170,4.442,4436,2
query_166,4.268,4369,4
query_23,7.462,3481,4
query_318,5.348,3371,2
query_167,4.051,3220,4
query_367,3.808,2847,2
query_110,3.604,2387,2
query_622,3.469,2153,2
query_588,5.075,2120,2
query_486,4.151,2102,5
query_584,6.198,2088,2
query_264,3.524,1953,2
query_295,5.044,1793,2
query_300,3.233,1632,2
query_578,4.181,1177,2
query_526,4.071,1097,2
query_294,4.537,903,4
query_99,4.76,863,2
query_477,4.281,851,2
query_134,3.906,815,3
query_457,3.502,762,2
query_228,4.05,717,2
query_555,4.329,704,2
query_515,4.596,692,3
query_334,5.043,668,2
query_478,4.138,665,3
query_61,3.923,626,3
query_679,10.969,484,2
query_324,4.938,427,2
query_634,3.471,402,2
query_627,5.109,400,2
query_328,3.095,396,3
query_305,4.559,355,2
query_427,3.072,334,3
query_169,3.435,321,5
query_587,4.809,258,2
query_52,3.253,257,3
query_224,4.224,207,5
query_573,4.075,196,2
query_286,4.094,182,3
query_619,4.376,180,2
query_567,3.803,179,2
query_393,4.217,176,2
query_519,3.834,175,3
query_42,2.953,161,3
query_314,3.643,159,2
query_506,4.122,156,2
query_316,2.591,151,4
query_524,4.383,150,2
query_3,3.236,149,2
query_656,4.918,126,2
query_308,2.58,124,2
query_376,2.856,121,5
query_165,4.103,119,3
query_323,4.591,111,2
query_119,4.186,105,3
query_216,3.624,105,4
query_673,4.74,104,3
query_559,4.613,100,2
query_182,3.776,97,2
query_470,4.102,95,2
query_676,4.044,85,2
query_458,2.498,84,2
query_558,2.464,79,2
query_11,4.524,78,2
query_350,4.053,74,2
query_485,4.61,67,2
query_162,4.63,63,2
query_208,4.433,59,2
query_589,4.296,58,2
query_382,4.25,57,3
query_628,3.36,50,2
query_572,3.554,46,2
query_677,3.542,46,3
query_666,2.653,43,2
query_551,3.941,39,2
query_380,3.269,38,2
query_529,4.517,33,2
query_202,2.899,27,3
query_280,3.518,26,3
query_298,3.719,25,2
query_373,2.87,22,4
query_319,3.263,20,2
query_473,6.79,15,2
query_302,2.807,13,2
query_474,4.222,7,2
query_357,2.941,6,3
query_552,5.814,6,2
query_680,3.434,5,2
query_674,3.253,5,2
query_195,2.887,5,3
query_564,1.976,3,2
query_199,3.561,2,2
query_536,2.355,2,2
query_590,3.116,2,2
query_484,3.4,2,2
query_638,3.278,1,4
query_658,4.284,1,2
query_491,2.465,0,2
query_496,2.541,0,9
query_523,2.652,0,2
query_550,600.206,0,2
query_480,600.191,0,2
query_287,600.204,0,2
query_276,600.197,0,2
query_105,1.812,0,4
query_92,2.716,0,4
query_17,5.914,0,6
query_646,1.828,0,4
query_438,600.2,0,3
query_637,18.666,0,4
query_131,113.953,0,3
query_577,600.215,0,2
query_204,2.718,0,2
query_371,2.487,0,4
query_582,3.157,0,2
query_347,5.533,0,5
query_592,2.513,0,2
query_360,7.908,0,6
query_358,4.787,0,6
query_346,5.068,0,5
