Triple_Count,Query_Index,Execution_Time_CRAWD,Execution_Time_CL,CRAWD_config1,CHAOLEE_config1,GT,re_crawd_config1,re_chaolee_config1
2,query_545,6.626,8.395,37280216,37280216.0,37280216,0.0,0.0
2,query_255,6.327,8.372,36589841,36589841.62962963,36333175,0.7064232619362333,0.7064249948693635
2,query_520,8.812,8.696,34644358,34635531.60175312,34696192,-0.1493939161969129,-0.17483301408660898
2,query_633,10.215,9.048,31935717,31912527.645692494,31941664,-0.0186183161904151,-0.09121739652482172
3,query_256,9.165,7.873,30006811,30006811.217477653,29954929,0.1732002102224979,0.17320093623875113
2,query_349,5.176,7.716,13256254,11539318.017766438,13210064,0.3496576549515581,-12.647523753356241
2,query_352,4.542,6.456,12877474,9706157.68607125,13718466,-6.13036472153665,-29.247499785535418
2,query_548,9.312,8.504,9857407,3699369.924525083,9698500,1.638469866474197,-61.856267211165815
2,query_547,10.027,9.82,9614238,497962.2851354242,9735877,-1.2493892435165317,-94.88528578231397
2,query_629,5.466,7.328,9181486,9181487,9181487,0,0.0
2,query_351,7.445,7.715,8330625,8132801.947416474,8366814,-0.4325302319377483,-2.796907551470917
2,query_632,8.282,7.505,8190087,7973757.043764441,8202151,-0.147083368740712,-2.7845617111360026
2,query_469,6.248,6.84,7306278,7306278.000000001,7304929,0.0184669830466524,0.018466983046665223
2,query_150,5.611,6.289,6459729,5115578.115354362,6465182,-0.0843441066314915,-20.87495579622721
3,query_151,6.649,7.553,6448350,5058777.348116302,6443894,0.0691507340126948,-21.49502539743357
2,query_147,6.291,7.387,6378480,4786611.116209171,6446811,-1.0599193927043928,-25.75226548119418
2,query_595,8.063,7.102,5106022,5026116.604371463,5109648,-0.0709637924177947,-1.6347778874109733
3,query_145,8.461,7.835,5051533,5052775.757311252,4969877,1.6430185294324189,1.6680243255769094
3,query_466,8.564,8.295,4004720,4008296.4887018376,4004725,-0.0001248525179631,0.08918187146027762
4,query_512,5.871,8.7,3795118,3038421.31382233,3780495,0.3868011993138465,-19.629008534005997
2,query_513,5.668,6.908,3794710,3510373.2919490617,3780495,0.3760089617893953,-7.145141259304359
2,query_391,4.942,6.51,3643149,3477668.4730574377,3648766,-0.1539424561618914,-4.689188809108677
2,query_146,5.585,6.78,3263217,2914889.9210276506,3286102,-0.6964178226969218,-11.296425946983673
2,query_599,5.338,6.875,3188864,3125988.713890827,3208980,-0.6268658576868662,-2.586220110725938
2,query_299,8.069,7.02,3084432,3084425.612653624,3083733,0.0226673320939264,0.02246020176272721
2,query_439,5.138,6.008,2768589,2763635.684169004,2760849,0.2803485449584529,0.10093576899729777
3,query_435,5.649,7.144,2747847,2732697.342301476,2756957,-0.3304367822929411,-0.8799432743609779
3,query_144,5.091,6.535,2533199,2497488.403562821,2521439,0.4664003372677269,-0.9498780829985979
2,query_14,7.728,7.505,2524827,2524827.0,2524801,0.0010297841295214,0.001029784129521495
2,query_597,5.376,7.174,2514777,2447469.370220369,2511719,0.1217492880373959,-2.5579943369314324
3,query_601,5.908,7.783,2487939,2424377.4062633445,2477424,0.4244327979385038,-2.1411996386833883
2,query_667,5.286,6.813,2463259,2389158.463586875,2486149,-0.9207010521091052,-3.9012358637042763
5,query_600,5.809,8.96,2454592,2130222.608526916,2477424,-0.921602438662094,-14.014613222164806
2,query_662,5.287,6.911,2345784,2260014.228700314,2339954,0.249150196969684,-3.416296700690946
3,query_596,5.823,7.95,2342393,2242833.028129513,2336550,0.250069546981661,-4.010912322462053
4,query_468,5.878,8.663,2312304,2262325.36385272,2353252,-1.740060138055763,-3.8638716188185636
2,query_631,7.56,7.223,2206291,2177816.280341532,2206741,-0.0203920623217677,-1.3107437464780831
5,query_143,6.606,8.615,2085833,2064730.9754641568,2086367,-0.0255947299779952,-1.0370191119703853
4,query_148,5.978,8.658,2067712,1963558.7242163315,2064249,0.1677607691707734,-4.877816376981095
2,query_613,9.046,8.431,1951555,1951881.3945462704,1916632,1.822102521506476,1.8391321101948819
2,query_455,7.415,8.097,1719762,1719762.4231738038,1717142,0.1525791111043816,0.15260375518179836
2,query_395,5.579,7.22,1647221,1543686.0396471927,1614916,2.000413643805622,-4.410753274647554
4,query_514,5.937,8.114,1614111,1567166.8589115706,1606922,0.4473770351018904,-2.4739932049240334
2,query_598,12.324,6.924,1396271,1398185.6462271905,1387786,0.6114055048833177,0.7493695877599648
2,query_447,7.2,7.379,1275115,1236212.6543603917,1281520,-0.4997971159248393,-3.5354380454154706
4,query_434,6.618,8.981,1256626,1256809.0353947647,1244375,0.9845102963335008,0.9992193185144943
2,query_456,6.981,7.346,1076408,1078178.5211282498,1076107,0.0279711961728712,0.19250140815456274
5,query_424,6.071,8.704,999920,991818.3217650356,990549,0.9460410338105436,0.12814325843907
2,query_385,6.632,6.698,949657,931032.725369894,952232,-0.2704172932646665,-2.226272025105862
4,query_396,8.976,8.262,928638,908508.0015812368,952232,-2.4777575212763274,-4.591737981790485
2,query_394,5.58,5.839,925638,912784.4030730872,915327,1.1264826668502077,-0.2777801733055817
3,query_386,7.343,7.398,908278,883218.2498465044,912735,-0.4883125989471205,-3.2338795108652105
6,query_425,5.91,9.416,865510,858501.8597904515,874120,-0.9849906191369606,-1.7867272467794495
2,query_494,8.109,7.597,609738,611332.4269699698,603430,1.04535737368046,1.3095847024459772
3,query_355,6.008,8.052,574046,554676.2662186044,545722,5.1901884109491645,1.6408109291185629
4,query_168,6.462,7.861,510719,660204.7210776355,435402,17.298266888989943,51.63107222236819
2,query_289,5.434,7.2,510475,207830.51471734472,512028,-0.3033037255775075,-59.41032234226552
4,query_288,6.355,8.384,509634,82164.54132535674,512028,-0.4675525557196091,-83.95311558638264
2,query_505,5.49,7.095,449065,450208.182735992,448876,0.0421051693563478,0.2967819032409872
3,query_122,5.54,8.108,392847,392643.6329546616,393384,-0.1365078396681105,-0.18820466651881673
2,query_593,8.044,6.882,383529,383868.8694087088,382447,0.282915018290116,0.37178207927080675
2,query_464,5.623,7.204,352152,352314.0752475248,352787,-0.1799952946111959,-0.13405390574914275
3,query_465,6.063,8.206,348710,346110.62011173187,349696,-0.2819591874084919,-1.0252847868629122
2,query_379,7.808,7.29,342313,335804.3439004548,336688,1.6706862139428786,-0.2624554779336321
2,query_135,5.588,7.393,320662,320826.0,320726,-0.0199547277115045,0.031179262049225817
3,query_126,5.487,7.489,319722,321450.3128046436,326891,-2.1930857686507124,-1.6643735053447208
3,query_136,5.8,7.983,302103,302598.5622850688,301570,0.1767417183406837,0.3410691663855139
2,query_76,5.589,7.182,283728,284163.21624365484,284037,-0.1087886437330347,0.04443655004624002
3,query_140,5.815,7.643,275482,274708.93828201015,275458,0.0087127620181661,-0.2719331869068441
4,query_138,6.614,7.17,271351,361331.8882718799,279051,-2.759352233104343,29.485967895431276
2,query_499,5.569,7.163,270291,270157.2913505311,270194,0.0359001310169729,-0.013586034282367203
2,query_501,5.753,7.055,256078,256209.8884381339,256311,-0.0909051893988162,-0.03944877975041991
4,query_431,5.826,9.03,248459,250984.1674776598,245189,1.33366505022656,2.363551169775069
2,query_528,5.607,6.983,242489,241895.73047644773,242305,0.0759373516848599,-0.1689067594776293
2,query_603,6.495,6.762,239765,182181.8277493989,243085,-1.3657774029660408,-25.05427000868055
2,query_527,5.456,6.688,236872,237757.40943473135,237823,-0.3998772196129054,-0.027579571895337624
4,query_137,6.981,8.633,228190,296333.4224819249,223432,2.129506964087508,32.628013212934974
3,query_533,5.966,8.402,218366,153546.3981815719,216182,1.0102598736250012,-28.973550905453788
2,query_530,5.397,6.527,205768,207523.8835272496,203358,1.1851021351508175,2.048546665117474
2,query_525,5.689,6.692,184313,183144.28362121052,184011,0.1641206232236116,-0.4710133518047738
2,query_283,5.447,6.781,150408,149351.02648079584,150022,0.2572955966458253,-0.44725008279062756
4,query_77,5.931,8.878,148423,146975.43786365335,146859,1.0649670772645872,0.07928548039503952
3,query_343,5.288,7.69,145613,146296.63020705778,146188,-0.3933291378225299,0.07430856640612113
3,query_15,5.822,8.0,133526,133607.96622736802,133536,-0.0074886173017014,0.05389275354062957
2,query_504,5.618,7.737,128582,128650.46744068654,128744,-0.1258311066923507,-0.0726500336430918
3,query_423,6.016,8.193,116492,113269.26384326608,116493,-0.0008584206776372,-2.767321776187346
3,query_20,5.698,8.026,110528,109987.78485133474,110506,0.0199084212621939,-0.46894752200356393
2,query_531,5.675,6.471,99250,78024.90506577057,100281,-1.0281110080673308,-22.193730551380057
5,query_451,6.62,10.424,88313,85823.1610057724,85597,3.1730083998270966,0.26421604235242224
3,query_74,6.335,7.961,62957,64231.83641305575,63067,-0.1744176827818035,1.8469824362277465
4,query_282,6.34,8.518,59078,58520.69564366738,59005,0.1237183289551732,-0.8207852831668858
3,query_156,5.768,7.547,53524,4639.516758034849,54313,-1.4526908843186714,-91.45781533328145
2,query_339,5.568,6.939,51323,52128.04338698391,51224,0.1932687802592534,1.7648824515537849
2,query_238,5.334,6.871,46546,47918.71853941952,47985,-2.998853808481817,-0.13812954169111497
3,query_13,5.643,8.027,46515,46380.070821939975,46995,-1.021385253750399,-1.3084991553570064
4,query_212,6.42,8.687,45428,45575.71545228677,44630,1.7880349540667713,2.119012888834352
2,query_579,5.813,7.068,34104,30140.633129129128,34907,-2.3003982009339103,-13.654472944884613
2,query_568,4.941,6.427,23784,23868.777570307822,23408,1.6062884483937117,1.968461937405256
2,query_502,5.481,7.366,21651,21629.96940262263,21638,0.0600794897864867,-0.037113399470230124
2,query_407,7.033,7.094,17417,10308.677024767389,16801,3.666448425688947,-38.64247946689252
3,query_29,6.393,7.43,17117,17068.163331911528,17226,-0.6327644258678741,-0.9162699877422033
3,query_450,5.756,8.823,15596,15816.003979229436,15836,-1.5155342258145996,-0.12626939107454174
2,query_12,5.541,7.198,15166,15111.069939786936,15089,0.5103055205779045,0.14626509236487323
2,query_344,5.469,6.723,13170,13125.24051531502,13131,0.2970070824765821,-0.0438617369962732
2,query_326,6.316,7.36,12329,12277.669061159331,12026,2.5195409945118907,2.0927079757137137
3,query_353,4.747,4.603,12168,6378.991079418233,5196,134.18013856812934,22.767341790189246
3,query_354,7.108,7.18,10806,9961.39486994543,13043,-17.150962201947404,-23.626505635625005
3,query_356,7.295,6.763,10629,10438.459296134171,8495,25.120659211300765,22.877684474798958
2,query_560,5.485,6.987,10165,10197.14774205603,10004,1.609356257497001,1.9307051385048932
4,query_102,6.334,8.807,9637,9845.803612140257,9775,-1.411764705882353,0.7243336280333148
2,query_630,5.66,6.847,8899,8772.752906478274,8938,-0.4363392257775788,-1.8488150986991063
2,query_345,5.389,6.1,8548,8604.41169764679,8606,-0.6739484080873809,-0.018455755905294628
2,query_10,5.518,7.299,8064,8091.194107452339,8080,-0.198019801980198,0.13854093381608004
2,query_476,5.452,6.8,7394,7278.361787141301,7211,2.537789488281792,0.9341531984648556
3,query_253,6.573,7.299,7377,6827.024814481153,17133,-56.942742076694095,-60.15277642863974
3,query_186,5.734,7.72,7156,7309.232142857142,7123,0.4632879404745191,2.614518361043692
3,query_164,5.466,7.062,6954,6971.330612244898,6963,-0.1292546316242998,0.11964113521323518
2,query_626,5.274,6.462,5835,6054.658906057013,5922,-1.469098277608916,2.240103108021161
2,query_336,5.676,6.167,5747,5804.043513009501,5683,1.1261657575224353,2.129922805023775
5,query_210,7.608,8.841,5405,5371.507479245686,5377,0.5207364701506416,-0.10214842392251763
3,query_130,6.198,8.657,5170,5236.202373706634,5237,-1.2793584113041818,-0.015230595634259936
2,query_348,5.115,7.105,4746,4668.401971957736,4723,0.4869786152868939,-1.156003134496372
2,query_170,5.411,5.586,4408,4166.295719050431,4432,-0.5415162454873645,-5.9951326929054325
4,query_166,5.882,7.311,4359,4305.811513548034,4355,0.0918484500574052,-1.129471560320692
2,query_367,5.455,7.119,3938,3516.981843357903,3857,2.100077780658543,-8.815612046722764
4,query_23,7.205,9.214,3385,3423.9485147439987,3378,0.2072232089994079,1.3602283820011445
2,query_318,5.695,7.551,3343,3352.811574697173,3402,-1.7342739564961789,-1.4458678807415344
4,query_167,8.621,8.38,2455,2319.166871796508,3810,-35.56430446194226,-39.129478430537844
2,query_110,6.293,7.938,2354,2331.828055683035,2427,-3.0078285949732178,-3.9213821309009056
2,query_622,5.656,7.581,2169,2110.081888515433,2166,0.1385041551246537,-2.581630262445379
2,query_588,5.281,5.392,2120,2120.0,2120,0.0,0.0
2,query_584,5.122,5.528,2044,2064.990969318185,2100,-2.666666666666667,-1.6670966991340546
5,query_486,6.48,8.751,2033,2117.015676263079,2107,-3.5121025154247745,0.4753524567194617
2,query_264,5.177,5.522,1979,1981.548902395858,1959,1.0209290454313424,1.1510414699263922
2,query_295,4.98,5.254,1777,1801.9006200017968,1791,-0.7816862088218872,0.6086331659294709
2,query_300,6.515,7.753,1678,1635.011733220318,1648,1.820388349514563,-0.7881229842039993
2,query_578,5.845,7.178,1172,1173.4490155472445,1183,-0.9298393913778528,-0.8073528700554123
2,query_526,5.379,5.908,1122,1102.2055076891136,1105,1.5384615384615383,-0.2528952317544277
4,query_294,5.875,6.599,911,901.871783831202,904,0.7743362831858407,-0.23542214256614627
2,query_99,5.385,6.127,860,866.0702949270908,862,-0.2320185614849187,0.47219198690148484
2,query_477,4.982,5.385,851,851.0,851,0.0,0.0
3,query_134,5.86,6.271,821,814.7655184351739,820,0.1219512195121951,-0.6383514103446426
2,query_457,5.879,7.003,753,759.7765929567408,762,-1.1811023622047243,-0.2917857012151126
2,query_555,5.362,6.581,709,703.3109789283861,707,0.2828854314002829,-0.5217851586441111
2,query_228,5.685,6.164,703,718.4335589671293,714,-1.5406162464985995,0.6209466340517268
2,query_334,5.096,6.234,689,663.9872763291404,665,3.6090225563909777,-0.1522892738134737
3,query_478,5.495,5.948,668,667.8226600985222,667,0.1499250374812593,0.12333734610527618
3,query_515,7.651,8.113,653,608.1079366076983,726,-10.055096418732782,-16.23857622483494
3,query_61,5.988,6.51,640,626.7718914943324,621,3.059581320450886,0.9294511263015149
2,query_679,30.003,11.71,442,482.2664985684866,219,101.82648401826484,120.21301304497105
2,query_324,7.573,8.567,407,431.21526616188055,430,-5.348837209302325,0.28262003764663945
3,query_328,6.866,7.796,405,406.1744128314959,392,3.316326530612245,3.615921640687726
2,query_634,5.308,4.676,401,423.271416351108,424,-5.4245283018867925,-0.17183576624811953
2,query_627,5.409,5.725,400,400.1293468990618,400,0.0,0.03233672476544314
2,query_305,4.679,4.87,355,354.9098198366474,355,0.0,-0.02540286291622912
3,query_427,6.392,7.189,331,331.6737772790091,337,-1.7804154302670625,-1.5804815195818773
5,query_169,4.989,5.795,326,327.6509070102541,322,1.2422360248447204,1.7549400652963092
2,query_587,4.906,4.296,258,258.0,258,0.0,0.0
3,query_52,5.889,6.251,254,258.00659590127174,256,-0.78125,0.7838265239342723
5,query_224,5.973,5.181,205,206.55469054780136,208,-1.4423076923076923,-0.6948603135570399
2,query_573,3.678,3.027,195,196.2091545584347,196,-0.5102040816326531,0.1067115094054615
3,query_286,4.419,4.44,182,181.5789029125689,182,0.0,-0.23137202606104018
2,query_619,3.598,4.538,181,180.9702286309557,181,0.0,-0.016448270190227498
2,query_567,5.311,4.998,179,180.1453684529937,180,-0.5555555555555556,0.08076025166316311
2,query_393,5.034,4.855,176,177.22780320381082,177,-0.5649717514124294,0.12870237503436283
3,query_519,3.96,4.148,175,174.9765324616819,175,0.0,-0.013410021896057906
2,query_314,5.567,5.49,160,158.9659616637253,159,0.628930817610063,-0.021407758663336326
4,query_316,5.5,5.549,157,152.19177702349404,155,1.2903225806451613,-1.8117567590361028
3,query_42,6.088,5.687,156,160.8824129719923,163,-4.294478527607362,-1.2991331460169968
2,query_506,5.913,5.554,153,156.52780110868468,155,-1.2903225806451613,0.9856781346352804
2,query_524,4.638,4.955,148,149.80611659872093,150,-1.3333333333333337,-0.12925560085271096
2,query_3,5.667,5.662,147,149.2949389559895,148,-0.6756756756756757,0.8749587540469554
2,query_656,12.424,8.416,143,143.29711655455452,128,11.71875,11.950872308245719
4,query_216,7.458,6.559,133,131.24326388294875,98,35.714285714285715,33.92169783974362
2,query_308,6.442,6.91,123,125.41031765761286,124,-0.8064516129032258,1.137352949687794
5,query_376,5.804,6.26,120,122.50077341520765,121,-0.8264462809917356,1.2403086076096252
3,query_165,6.472,6.985,119,119.04619580944691,120,-0.8333333333333334,-0.794836825460905
2,query_323,5.618,5.242,112,112.08207901214642,112,0.0,0.07328483227359175
3,query_119,6.408,6.409,105,105.37489985083474,106,-0.9433962264150944,-0.5897171218540217
3,query_673,7.009,7.453,103,103.10923926069675,101,1.98019801980198,2.088355703660152
2,query_182,5.554,5.674,101,97.85602060942244,98,3.061224489795918,-0.14691774548730197
3,query_280,4.572,4.178,101,36.086340947197726,118,-14.40677966101695,-69.41835512949345
2,query_559,4.842,4.972,100,100.0,100,0.0,0.0
2,query_470,4.829,4.947,95,94.5449231160249,95,0.0,-0.47902829892115345
2,query_676,5.134,4.561,86,82.80061453532275,87,-1.1494252873563218,-4.826879844456608
2,query_458,5.568,5.782,83,84.4110640434963,84,-1.1904761904761905,0.4893619565432095
2,query_11,5.173,4.715,79,78.95887095964413,79,0.0,-0.05206207639983482
2,query_558,5.575,5.513,76,80.29484045989169,79,-3.79746835443038,1.6390385568249215
2,query_350,5.132,4.802,74,74.79378281436813,75,-1.3333333333333337,-0.2749562475091617
2,query_485,5.374,5.02,67,66.86030154053235,67,0.0,-0.2085051633845559
2,query_162,5.226,5.158,61,62.77598875987144,64,-4.6875,-1.9125175627008772
2,query_589,5.412,4.944,59,58.92915126535067,59,0.0,-0.12008260110056168
2,query_208,5.218,4.797,59,59.866791506649314,60,-1.6666666666666667,-0.22201415558447718
3,query_382,5.772,4.898,57,57.0622982859935,57,0.0,0.10929523858508648
5,query_346,8.623,7.912,52,52.63508170404209,50,4.0,5.270163408084187
2,query_628,3.781,2.86,50,50.0,50,0.0,0.0
2,query_572,5.611,4.399,46,46.06574171109678,46,0.0,0.14291676325386318
3,query_677,7.535,7.692,46,48.96547707206916,45,2.2222222222222223,8.812171271264807
2,query_666,5.727,5.706,43,43.994200961476274,44,-2.272727272727273,-0.013179633008468401
2,query_551,5.676,6.026,39,39.85103653183875,40,-2.5,-0.37240867040312153
2,query_380,4.57,5.078,37,38.20235396131138,38,-2.631578947368421,0.5325104245036347
2,query_529,5.265,4.838,32,33.089982284604645,33,-3.0303030303030303,0.27267358971104466
3,query_202,5.201,4.719,28,27.54803108634053,28,0.0,-1.6141746916409665
2,query_298,4.465,4.218,25,25.0,25,0.0,0.0
4,query_373,5.07,5.088,23,23.164148840439875,23,0.0,0.7136906106081521
3,query_357,5.118,5.076,20,24.621402866946426,1205,-98.3402489626556,-97.95673005253556
2,query_319,4.792,5.395,20,20.73716203381245,21,-4.761904761904762,-1.25160936279786
2,query_473,25.05,8.015,15,15.429952125823542,22,-31.818181818181817,-29.863853973529352
2,query_302,5.455,5.689,13,13.0677062006235,13,0.0,0.5208169278730723
2,query_552,5.164,4.871,7,6.995322502699704,7,0.0,-0.06682139000422994
2,query_474,4.008,4.229,7,7.0,7,0.0,0.0
3,query_195,5.892,5.597,5,5.137706241083963,5,0.0,2.7541248216792624
2,query_680,4.18,3.155,5,4.99873314857265,5,0.0,-0.025337028547003374
2,query_674,4.359,5.441,5,5.941368078175896,6,-16.666666666666664,-0.9771986970684043
2,query_199,5.46,3.924,3,2.95210449927431,3,0.0,-1.5965166908563273
2,query_564,4.37,3.745,3,3.0038204490810547,3,0.0,0.12734830270182407
2,query_536,3.926,4.594,2,2.001293661060802,2,0.0,0.06468305304010435
4,query_371,4.815,4.782,2,4.580371188182314,2,0.0,129.01855940911568
2,query_590,4.744,5.026,2,2.996636382972259,3,-33.33333333333333,-0.11212056759137094
4,query_105,5.995,5.381,1,0.9540936350684204,1,0.0,-4.590636493157962
2,query_658,4.213,2.85,1,1.0,1,0.0,0.0
4,query_638,4.707,3.358,1,0.7855256784728023,1,0.0,-21.44743215271977
2,query_484,3.99,3.559,1,2.008072747517862,2,-50.0,0.40363737589310666
6,query_358,4.534,4.505,1,1.8136565818390908,93,-98.9247311827957,-98.04983163243108
9,query_496,4.125,3.971,0,0.6982447603806219,18,-100.0,-96.12086244232988
6,query_17,9.918,6.298,0,0.0,64,-100.0,-100.0
4,query_646,5.773,5.81,0,0.0,8,-100.0,-100.0
4,query_637,7.793,7.427,0,0.0,407,-100.0,-100.0
6,query_360,8.807,7.941,0,0.0,10,-100.0,-100.0
4,query_92,5.072,4.131,0,0.996,1,-100.0,-0.40000000000000036
5,query_347,8.162,7.955,0,0.0,1,-100.0,-100.0
